ticker,buy_price,cur_price,pnl_pct,pnl_amt,eval_amt,hold_days,signals,weekly,sector,stop,target,stop_dist,target_dist,status,memo,target_progress,sig_details,fund_judge,fund_cnt,fund_risks,next_earnings,surprise_label,earn_warning,tw_label,iv_label,pcr_label,vix_status,vix_signal,industry
GOOGL,365.81,343.71,-6.04,-265.2,4124.52,0,2,3,🔴 약세,338.46,354.22,-1.53,3.06,🟠 손절가 근접 (모니터링),,0.0,BB하단(0.08) / ADX강세(26.2),⚠ 주의,2,현금<총부채 / 매출채권↑>매출↑,N/A,N/A,,,IV 32.7% (보통),PCR 0.75 (중립),🟢 정상 구간,정상 시장 환경,Internet Content & Information
RKLX,40.32,28.87,-28.4,-1499.95,3781.97,0,2,0,미분류,58.7,-30.8,103.33,-206.69,🔴 손절 고려,,0.0,BB하단(0.11) / ADX강세(53.4),데이터없음,0,없음,N/A,N/A,,,🚨 IV 153.8% (극고변동성),PCR 0.41 (낙관적/과열주의),🟢 정상 구간,정상 시장 환경,
TSLL,16.37,11.38,-30.48,-1262.47,2879.14,0,2,-3,미분류,13.49,7.16,18.54,-37.08,🔴 손절 고려,,0.0,BB하단(0.10) / ADX강세(30.8),데이터없음,0,없음,N/A,N/A,,,⚠ IV 74.2% (고변동성),PCR 0.52 (중립),🟢 정상 구간,정상 시장 환경,
CDNS,332.28,368.23,10.82,215.7,2209.38,0,2,3,🟢 강세,361.91,380.87,-1.72,3.43,🟠 분할익절 고려 (추세 점검),,74.0,구름대 위 / BB하단(0.12),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 61.9% (고변동성),PCR 3.29 (비관적),🟢 정상 구간,정상 시장 환경,Software - Application
MPWR,1568.0,1438.3,-8.27,-129.7,1438.3,0,2,3,🟢 강세,1366.95,1581.0,-4.96,9.92,⚪ 보유 유지,,-997.7,BB하단(0.15) / ADX강세(27.2),⚠ 주의,2,매출채권↑>매출↑ / 재고↑이익↓,N/A,N/A,,,⚠ IV 73.9% (고변동성),PCR 0.93 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
TSLA,413.75,375.12,-9.34,-154.52,1500.48,0,2,-1,🔴 약세,393.34,338.67,4.86,-9.72,🔴 손절 고려,,0.0,BB하단(0.09) / ADX강세(28.5),⚠ 주의,1,매출채권↑>매출↑,N/A,N/A,,,IV 37.4% (보통),PCR 1.03 (비관적),🟢 정상 구간,정상 시장 환경,Auto Manufacturers
COHR,393.42,407.25,3.52,41.49,1221.75,0,4,3,🟢 강세,333.8,554.14,-18.04,36.07,🟣 추가매수 고려,,8.6,구름대 위 / MA 정배열 / RSI상승기울기(+5.0) / OBV상승(1.05x),⚠ 주의,2,현금<총부채 / 우선주존재,N/A,N/A,,,⚠ IV 71.3% (고변동성),PCR 0.87 (중립),🟢 정상 구간,정상 시장 환경,Scientific & Technical Instruments
NVDA,186.78,195.74,4.8,44.8,978.7,0,1,3,🟢 강세,199.17,188.88,1.75,-3.5,🔴 손절 고려,,426.7,BB하단(0.06),⚠ 주의,2,현금<총부채 / 재고↑이익↓,N/A,N/A,,,IV 32.9% (보통),PCR 0.7 (중립),🟢 정상 구간,정상 시장 환경,Semiconductors
NASA,42.36,26.42,-37.63,-494.14,819.02,0,2,0,미분류,32.85,13.57,24.34,-48.64,🔴 손절 고려,,0.0,BB하단(0.07) / ADX강세(41.1),데이터없음,0,없음,N/A,N/A,,,🚨 IV 93.8% (극고변동성),PCR 0.88 (중립),🟢 정상 구간,정상 시장 환경,
RKLB,65.07,80.69,24.0,109.34,564.83,0,2,1,🟢 강세,96.77,48.53,19.93,-39.86,🔴 손절 고려,,0.0,BB하단(0.02) / ADX강세(51.9),⚠ 주의,2,재고↑이익↓ / 우선주존재,N/A,N/A,,,⚠ IV 67.5% (고변동성),PCR 1.3 (비관적),🟢 정상 구간,정상 시장 환경,Aerospace & Defense
