date,ticker,price,signals,adj_sig,sell_cnt,weekly,sector,trend_type,stop,stop_pct,target,target_pct,rr,buy_detail,sell_detail,strategy,details,fund_judge,beta,near_52w,priority,adx,fund_cnt,fund_risks,growth_score,growth_grade,growth_detail,tw_warning,tw_days,iv_label,pcr_label,iv_warning,vix_status,vix_signal,industry
2026-07-09,DAL,89.0,5,9,0,3,🟢 강세,상승추세,82.94,-6.81,101.12,13.62,2.0,구름대 위 / MA 정배열 / Stoch GC(K=27) / RSI상승기울기(+4.8) / ADX강세(43.4),없음,A,구름대 위 / MA 정배열 / Stoch GC(K=27) / RSI상승기울기(+4.8) / ADX강세(43.4),⚠ 주의,1.61,True,⭐,43.4,1,현금<총부채,10,🔥 최우선,시총:중형 $58.5B ⭐ / PEG:0.21 ⭐⭐⭐ (성장대비 저평가) / PSR:0.90 (섹터 고평가) / PER:13.0 ⭐ (섹터 적정) / ForwardPER:10.7 ⭐ (섹터 적정) / PER개선:Trailing 13.0 → Forward 10.7 ⭐ (이익개선) / EPS성장:+44.8% ⭐⭐⭐ / OPM:9.2% (▼0.5%p) / 목표주가:$97 (▲9.5%) / 내부자:순매수 ⭐ / IV:🚨 IV 80.9% (극고변동성) / PCR:PCR 0.85 (중립),,71,🚨 IV 80.9% (극고변동성),PCR 0.85 (중립),True,🟢 정상 구간,정상 시장 환경,Airlines
2026-07-09,IVZ,28.61,6,9,0,3,🟡 중립,상승추세,26.55,-7.2,32.73,14.4,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+10.9) / ADX강세(26.1),없음,D,구름대 위 / MA 정배열 / RSI 상향돌파 / MACD 양전환 / RSI상승기울기(+10.9) / ADX강세(26.1),⚠ 주의,1.42,True,⭐,26.1,2,현금<총부채 / 매출채권↑>매출↑,9,🔥 최우선,시총:중형 $12.7B ⭐ / PEG:0.88 ⭐⭐⭐ (성장대비 저평가) / PSR:1.92 ⭐⭐ (섹터 저평가) / PER:N/A / ForwardPER:9.4 ⭐⭐ (섹터 저평가) / EPS성장:N/A / OPM:-10.9% (▼24.6%p) / 목표주가:$30 (▲3.8%) / 내부자:순매수 ⭐ / IV:IV 46.0% (보통) / PCR:PCR 2.57 (비관적),,71,IV 46.0% (보통),PCR 2.57 (비관적),False,🟢 정상 구간,정상 시장 환경,Asset Management
2026-07-09,NTAP,171.73,5,9,1,3,🟢 강세,완전상승,158.54,-7.68,198.12,15.37,2.0,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.16x) / ADX강세(27.0),BB상단(1.15),C,구름대 위 / MA 정배열 / MACD 양전환 / OBV상승(1.16x) / ADX강세(27.0),⚠ 주의,1.22,True,⭐,27.0,1,현금<총부채,10,🔥 최우선,시총:중형 $33.6B ⭐ / PEG:1.80 ⭐ (적정) / PSR:4.86 ⭐⭐ (섹터 저평가) / PER:27.0 ⭐ (섹터 적정) / ForwardPER:17.4 ⭐⭐ (섹터 저평가) / PER개선:Trailing 27.0 → Forward 17.4 ⭐ (이익개선) / EPS성장:7.6% / OPM:24.5% (▲2.8%p) ⭐ / 목표주가:$176 (▲2.3%) / 내부자:순매수 ⭐ / IV:IV 46.6% (보통) / PCR:PCR 0.01 (낙관적/과열주의),,71,IV 46.6% (보통),PCR 0.01 (낙관적/과열주의),False,🟢 정상 구간,정상 시장 환경,Software - Infrastructure
2026-07-09,GD,374.6,5,8,0,3,🟢 강세,상승추세,359.5,-4.03,404.8,8.06,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / OBV상승(1.08x) / ADX강세(38.6),없음,A,구름대 위 / MA 정배열 / RSI 상향돌파 / OBV상승(1.08x) / ADX강세(38.6),⚠ 주의,0.04,True,,38.6,1,현금<총부채,7,⭐ 유망,시총:대형 $101.3B / PEG:2.80 (고평가) / PSR:1.88 ⭐ (섹터 적정) / PER:23.5 ⭐ (섹터 적정) / ForwardPER:20.6 ⭐ (섹터 적정) / PER개선:Trailing 23.5 → Forward 20.6 ⭐ (이익개선) / EPS성장:+11.3% ⭐ / OPM:10.2% (▲0.1%p) ⭐ / 목표주가:$394 (▲5.1%) / 내부자:순매수 ⭐ / IV:IV 25.3% (저변동성) / PCR:PCR 2.72 (비관적),,71,IV 25.3% (저변동성),PCR 2.72 (비관적),False,🟢 정상 구간,정상 시장 환경,Aerospace & Defense
2026-07-09,FLEX,139.94,5,8,0,3,미분류,미분류,124.69,-10.9,170.43,21.79,2.0,구름대 위 / RSI 상향돌파 / RSI상승기울기(+7.4) / OBV상승(1.06x) / ADX강세(25.7),없음,A,구름대 위 / RSI 상향돌파 / RSI상승기울기(+7.4) / OBV상승(1.06x) / ADX강세(25.7),🔴 위험,3.92,True,,25.7,3,현금<총부채 / 매출채권↑>매출↑ / 재고↑이익↓,10,🔥 최우선,시총:중형 $51.3B ⭐ / PEG:0.94 ⭐⭐⭐ (성장대비 저평가) / PSR:1.84 ⭐⭐ (섹터 저평가) / PER:60.1 (섹터 고평가) / ForwardPER:20.1 ⭐ (섹터 적정) / PER개선:Trailing 60.1 → Forward 20.1 ⭐ (이익개선) / EPS성장:5.0% / OPM:5.2% (▼0.6%p) / 목표주가:$160 (▲14.6%) ⭐ / 내부자:순매수 ⭐ / IV:⚠ IV 76.8% (고변동성) / PCR:PCR 0.21 (낙관적/과열주의),,71,⚠ IV 76.8% (고변동성),PCR 0.21 (낙관적/과열주의),True,🟢 정상 구간,정상 시장 환경,
2026-07-09,AES,14.73,5,8,1,3,🟡 중립,혼조,14.55,-1.22,15.09,2.44,2.0,구름대 위 / 거래량급증(2.7x) / RSI상승기울기(+20.2) / OBV상승(-0.10x) / ADX강세(31.7),BB상단(1.04),A,구름대 위 / 거래량급증(2.7x) / RSI상승기울기(+20.2) / OBV상승(-0.10x) / ADX강세(31.7),⚠ 주의,0.07,True,,31.7,2,현금<총부채 / 단기부채>현금,12,🔥 최우선,시총:중형 $10.5B ⭐ / PEG:0.81 ⭐⭐⭐ (성장대비 저평가) / PSR:0.84 ⭐⭐ (섹터 저평가) / PER:7.7 ⭐⭐ (섹터 저평가) / ForwardPER:6.2 ⭐⭐ (섹터 저평가) / PER개선:Trailing 7.7 → Forward 6.2 ⭐ (이익개선) / EPS성장:-45.8% / OPM:16.1% (▼0.4%p) / 목표주가:$15 (▲1.8%) / 내부자:순매수 ⭐ / IV:IV 44.9% (보통) / PCR:PCR 0.53 (중립),,71,IV 44.9% (보통),PCR 0.53 (중립),False,🟢 정상 구간,정상 시장 환경,Utilities - Diversified
2026-07-09,AAPL,316.22,5,8,1,3,🟢 강세,완전상승,298.86,-5.49,350.95,10.98,2.0,구름대 위 / MA 정배열 / RSI상승기울기(+4.1) / OBV상승(1.15x) / ADX강세(33.0),BB상단(0.95),C,구름대 위 / MA 정배열 / RSI상승기울기(+4.1) / OBV상승(1.15x) / ADX강세(33.0),⚠ 주의,0.59,True,,33.0,1,현금<총부채,5,⭐ 유망,시총:대형 $4644.4B / PEG:2.53 (고평가) / PSR:10.29 (섹터 고평가) / PER:38.2 (섹터 고평가) / ForwardPER:32.9 ⭐ (섹터 적정) / PER개선:Trailing 38.2 → Forward 32.9 ⭐ (이익개선) / EPS성장:+19.5% ⭐ / OPM:32.0% (▲0.5%p) ⭐ / 목표주가:$316 (▲-0.2%) / 내부자:순매수 ⭐ / IV:IV 18.2% (저변동성) / PCR:PCR 0.66 (중립),,71,IV 18.2% (저변동성),PCR 0.66 (중립),False,🟢 정상 구간,정상 시장 환경,Consumer Electronics
2026-07-09,URI,1088.67,5,8,0,3,🟢 강세,상승추세,1036.22,-4.82,1193.56,9.63,2.0,구름대 위 / RSI 상향돌파 / RSI상승기울기(+11.6) / OBV상승(1.05x) / ADX강세(28.4),없음,A,구름대 위 / RSI 상향돌파 / RSI상승기울기(+11.6) / OBV상승(1.05x) / ADX강세(28.4),🔴 위험,0.61,True,,28.4,3,현금<총부채 / 재고↑이익↓ / 단기부채>현금,5,⭐ 유망,시총:중형 $68.2B ⭐ / PEG:1.80 ⭐ (적정) / PSR:4.17 (섹터 고평가) / PER:27.8 (섹터 고평가) / ForwardPER:20.2 ⭐ (섹터 적정) / PER개선:Trailing 27.8 → Forward 20.2 ⭐ (이익개선) / EPS성장:-3.1% / OPM:24.7% (▼1.8%p) / 목표주가:$1137 (▲4.5%) / 내부자:순매수 ⭐ / IV:IV 40.0% (보통) / PCR:PCR 0.59 (중립),,71,IV 40.0% (보통),PCR 0.59 (중립),False,🟢 정상 구간,정상 시장 환경,Rental & Leasing Services
2026-07-09,UAL,129.05,5,8,0,3,🟢 강세,상승추세,118.39,-8.26,150.37,16.52,2.0,구름대 위 / MA 정배열 / Stoch GC(K=32) / RSI상승기울기(+6.8) / ADX강세(41.3),없음,A,구름대 위 / MA 정배열 / Stoch GC(K=32) / RSI상승기울기(+6.8) / ADX강세(41.3),⚠ 주의,1.88,True,,41.3,1,현금<총부채,5,⭐ 유망,시총:중형 $41.9B ⭐ / PEG:6.50 (고평가) / PSR:0.69 (섹터 고평가) / PER:11.5 ⭐ (섹터 적정) / ForwardPER:8.7 ⭐ (섹터 적정) / PER개선:Trailing 11.5 → Forward 8.7 ⭐ (이익개선) / EPS성장:6.5% / OPM:8.4% (▼0.7%p) / 목표주가:$151 (▲17.1%) ⭐ / 내부자:순매수 ⭐ / IV:🚨 IV 81.3% (극고변동성) / PCR:PCR 0.79 (중립),,71,🚨 IV 81.3% (극고변동성),PCR 0.79 (중립),True,🟢 정상 구간,정상 시장 환경,Airlines
2026-07-09,AMD,546.72,5,8,0,3,🟢 강세,완전상승,467.16,-14.55,705.84,29.1,2.0,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+10.1) / OBV상승(1.03x),없음,C,구름대 위 / MA 정배열 / RSI 상향돌파 / RSI상승기울기(+10.1) / OBV상승(1.03x),⚠ 주의,4.64,True,,19.3,1,재고↑이익↓,6,⭐ 유망,시총:대형 $891.5B / PEG:1.32 ⭐ (적정) / PSR:23.80 (섹터 고평가) / PER:182.2 (섹터 고평가) / ForwardPER:41.4 (섹터 고평가) / PER개선:Trailing 182.2 → Forward 41.4 ⭐ (이익개선) / EPS성장:+164.2% ⭐⭐⭐ / OPM:10.7% (▼2.6%p) / 목표주가:$512 (▲-6.3%) / 내부자:순매수 ⭐ / IV:⚠ IV 58.9% (고변동성) / PCR:PCR 0.79 (중립),,71,⚠ IV 58.9% (고변동성),PCR 0.79 (중립),True,🟢 정상 구간,정상 시장 환경,Semiconductors
